NAME	StromalScore	ImmuneScore	ESTIMATEScore
ITCC.P4_s01_EP0027_TP01_F01_R01_A03	-469.32275	  63.81693	-405.50581
ITCC.P4_s01_EP0027_PP01_F01_R01_A03	-1744.863	-2317.842	-4062.706
ITCC.P4_s01_EP0035_PP01_F01_R01_A03	-2027.851	-2551.441	-4579.292
ITCC.P4_s01_EP0076_PR03_F01_R01_A03	-2116.746	-2456.130	-4572.876
ITCC.P4_s01_EP0076_TP02_F01_R01_A03	-1008.67627	  -27.34573	-1036.02200
ITCC.P4_s01_EP0076_PP03_F01_R01_A03	-2115.795	-2613.805	-4729.601
ITCC.P4_s01_EP0077_PP02_F01_R01	-2295.548	-2434.273	-4729.821
ITCC.P4_s01_EP0077_TP01_F01_R01	-1713.433	-1532.469	-3245.903
ITCC.P4_s01_EP0191_PR01_F01_R01_A03	-2367.226	-2336.577	-4703.804
ITCC.P4_s05_EP0191_PR04_F01_R01_03	-2367.262	-2347.586	-4714.849
ITCC.P4_s01_EP0233_PR01_F01_R01_A03	-2322.854	-2584.972	-4907.826
ITCC.P4_s05_EP0233_PR05_F01_R01_03	-1932.437	-2389.545	-4321.982
ITCC.P4_s01_EP0307_PM01_F01_R01_A03	-2380.24	-2552.86	-4933.10
ITCC.P4_s01_EP0706_PU01_F01_R01_A03	-1590.977	-2301.961	-3892.938
ITCC.P4_s05_ES0014_P01_PP01_F01_R01_03	-1456.663	-1305.952	-2762.615
ITCC.P4_s05_ES0059_PP01_F01_R01_03	-1340.425	-1362.329	-2702.754
ITCC.P4_s05_ES0180_PR05_F01_R01_03	-1664.641	-1742.895	-3407.536
ITCC.P4_s13_ES0202_PP05_F01_R01_03	-1917.697	-1629.040	-3546.738
ITCC.P4_s13_ES0202_PR06_F01_R01_03	-1630.838	-1254.059	-2884.897
ITCC.P4_s05_ES0222_PR08_F01_R01_03	-2089.081	-1695.357	-3784.438
ITCC.P4_s04_ES0412_PM01_F01_R01_03	-2156.004	-1900.361	-4056.364
ITCC.P4_s04_ES0413_PM01_F01_R01_03	-1470.6920	 -974.3648	-2445.0568
ITCC.P4_s05_ES0427_PR08_F01_R01_03	-1515.857	-1580.610	-3096.467
ITCC.P4_s13_ES0439_PM07_F01_R01_03	-1800.754	-1513.649	-3314.403
ITCC.P4_s05_ES0451_PR01_F01_R01_03	-2616.319	-1933.138	-4549.457
ITCC.P4_s13_ES0451_TR01_F01_R01_A03	   55.79146	-1129.75925	-1073.96779
ITCC.P4_s13_ES0455_TM01_F01_R01_A03	 -365.3024	 -869.9016	-1235.2041
ITCC.P4_s04_ES0472_PM01_F01_R01_03	-1704.678	-1589.318	-3293.996
ITCC.P4_s01_HG0048_PP01_F01_R01_A03	-1487.022	-2291.675	-3778.696
ITCC.P4_s01_HG0067_PP09_F01_R01_A03	-1840.905	-1133.385	-2974.289
ITCC.P4_s07_HG0067_TP01_F01_R01_A03	 704.3975	1696.0914	2400.4889
ITCC.P4_s07_HG0068_PT01_F01_R01_A03	-454.2954	1050.7666	 596.4712
ITCC.P4_s01_HG0068_TT01_F01_R01_A03	-470.7135	1028.6798	 557.9663
ITCC.P4_s01_HG0074_TP01_F01_R01_A03	-1596.4846	 -740.8934	-2337.3779
ITCC.P4_s01_HG0074_PP04_F01_R01_A03	-2289.498	-1856.173	-4145.671
ITCC.P4_s01_HG0078_PP02_F01_R01	-1700.927	-1910.908	-3611.835
ITCC.P4_s01_HG0078_TP01_F01_R01	-831.8759	1708.9799	 877.1041
ITCC.P4_s01_HG0080_PM02_E01_R01_A03	-1871.669	-1964.036	-3835.705
ITCC.P4_s01_HG0113_PP01_F01_R01_A03	-2169.558	-2410.296	-4579.855
ITCC.P4_s02_HG0138_PP01_F01_R01_A03	-2238.006	-2464.528	-4702.534
ITCC.P4_s01_HG0162_TP01_F01_R01_A03	-689.8822	1000.9455	 311.0633
ITCC.P4_s13_HG0230_PR06_F01_R01_03	-2440.297	-1990.589	-4430.886
ITCC.P4_s01_HG0425_PP01_F01_R01	-2352.124	-1560.152	-3912.277
ITCC.P4_s01_HG0425_TP01_F01_R01	-1234.72852	 1143.81630	  -90.91222
ITCC.P4_s01_HG0536_PP01_F01_R01_A03	-2045.116	-2267.557	-4312.674
ITCC.P4_s01_MB0028_TP01_F01_R01_A03	-2133.273	-1644.283	-3777.556
ITCC.P4_s01_MB0028_PP03_F01_R01_A03	-2316.905	-2370.326	-4687.230
ITCC.P4_s01_MB0030_PM02_F01_R01_A03	-2369.517	-2726.704	-5096.221
ITCC.P4_s01_MB0039_PP02_F01_R01_A03	-2689.692	-2503.672	-5193.364
ITCC.P4_s01_MB0039_PP01_F01_R01_A03	-2733.714	-2326.583	-5060.297
ITCC.P4_s01_MB0039_TP01_F01_R01_A03	-2388.254	-1705.439	-4093.693
ITCC.P4_s01_MB0040_PP02_F01_R01_A03	-2615.901	-2810.361	-5426.263
ITCC.P4_s01_MB0040_TP01_F01_R01_A03	-1893.785	-2001.161	-3894.946
ITCC.P4_s01_MB0041_PP01_F01_R01_A03	-2553.480	-2947.849	-5501.329
ITCC.P4_s01_MB0041_PP02_F01_R01_A03	-2470.460	-2875.561	-5346.021
ITCC.P4_s01_MB0042_PP02_F01_R01_A03	-2273.213	-2318.632	-4591.845
ITCC.P4_s01_MB0042_TP01_F01_R01_A03	-1474.2550	 -730.3715	-2204.6265
ITCC.P4_s01_MB0043_PP02_F01_R01_A03	-2622.158	-2687.202	-5309.361
